Module	Section	Sample Name	Source
STAR	SummaryLog	WT_DSS_D1_REP3	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/mapping_reads/WT_DSS_D1_REP3_trimmed_Log.final.out
STAR	SummaryLog	WT_DSS_D1_REP2	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/mapping_reads/WT_DSS_D1_REP2_trimmed_Log.final.out
STAR	SummaryLog	WT_DSS_D1_REP1	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/mapping_reads/WT_DSS_D1_REP1_trimmed_Log.final.out
STAR	SummaryLog	MAP3Kneg_DSS_D1_REP2	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/mapping_reads/MAP3Kneg_DSS_D1_REP2_trimmed_Log.final.out
STAR	SummaryLog	MAP3Kneg_DSS_D1_REP3	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/mapping_reads/MAP3Kneg_DSS_D1_REP3_trimmed_Log.final.out
STAR	SummaryLog	MAP3Kneg_DSS_D1_REP1	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/mapping_reads/MAP3Kneg_DSS_D1_REP1_trimmed_Log.final.out
Cutadapt	all_sections	WT_DSS_D1_REP2_read2	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/cutadapt_trimmed/WT_DSS_D1_REP2_read1.cutadapt.out
Cutadapt	all_sections	MAP3Kneg_DSS_D1_REP2_read2	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/cutadapt_trimmed/MAP3Kneg_DSS_D1_REP2_read1.cutadapt.out
Cutadapt	all_sections	MAP3Kneg_DSS_D1_REP3_read2	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/cutadapt_trimmed/MAP3Kneg_DSS_D1_REP3_read1.cutadapt.out
Cutadapt	all_sections	WT_DSS_D1_REP3_read2	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/cutadapt_trimmed/WT_DSS_D1_REP3_read1.cutadapt.out
Cutadapt	all_sections	MAP3Kneg_DSS_D1_REP1_read2	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/cutadapt_trimmed/MAP3Kneg_DSS_D1_REP1_read1.cutadapt.out
Cutadapt	all_sections	WT_DSS_D1_REP1_read2	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/cutadapt_trimmed/WT_DSS_D1_REP1_read1.cutadapt.out
FastQC	all_sections	MAP3Kneg_DSS_D1_REP3_read1	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_raw/MAP3Kneg_DSS_D1_REP3_read1_fastqc.zip
FastQC	all_sections	WT_DSS_D1_REP3_read1	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_raw/WT_DSS_D1_REP3_read1_fastqc.zip
FastQC	all_sections	WT_DSS_D1_REP1_read1	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_raw/WT_DSS_D1_REP1_read1_fastqc.zip
FastQC	all_sections	MAP3Kneg_DSS_D1_REP1_read1	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_raw/MAP3Kneg_DSS_D1_REP1_read1_fastqc.zip
FastQC	all_sections	WT_DSS_D1_REP2_read1	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_raw/WT_DSS_D1_REP2_read1_fastqc.zip
FastQC	all_sections	MAP3Kneg_DSS_D1_REP2_read1	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_raw/MAP3Kneg_DSS_D1_REP2_read1_fastqc.zip
FastQC	all_sections	WT_DSS_D1_REP1_read2	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_raw/WT_DSS_D1_REP1_read2_fastqc.zip
FastQC	all_sections	MAP3Kneg_DSS_D1_REP3_read2	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_raw/MAP3Kneg_DSS_D1_REP3_read2_fastqc.zip
FastQC	all_sections	WT_DSS_D1_REP2_read2	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_raw/WT_DSS_D1_REP2_read2_fastqc.zip
FastQC	all_sections	WT_DSS_D1_REP3_read2	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_raw/WT_DSS_D1_REP3_read2_fastqc.zip
FastQC	all_sections	MAP3Kneg_DSS_D1_REP2_read2	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_raw/MAP3Kneg_DSS_D1_REP2_read2_fastqc.zip
FastQC	all_sections	MAP3Kneg_DSS_D1_REP1_read2	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_raw/MAP3Kneg_DSS_D1_REP1_read2_fastqc.zip
FastQC	all_sections	WT_DSS_D1_REP3_trimmed_read2	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_trimmed/WT_DSS_D1_REP3_trimmed_read2_fastqc.zip
FastQC	all_sections	WT_DSS_D1_REP2_trimmed_read1	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_trimmed/WT_DSS_D1_REP2_trimmed_read1_fastqc.zip
FastQC	all_sections	MAP3Kneg_DSS_D1_REP2_trimmed_read2	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_trimmed/MAP3Kneg_DSS_D1_REP2_trimmed_read2_fastqc.zip
FastQC	all_sections	MAP3Kneg_DSS_D1_REP3_trimmed_read1	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_trimmed/MAP3Kneg_DSS_D1_REP3_trimmed_read1_fastqc.zip
FastQC	all_sections	MAP3Kneg_DSS_D1_REP3_trimmed_read2	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_trimmed/MAP3Kneg_DSS_D1_REP3_trimmed_read2_fastqc.zip
FastQC	all_sections	MAP3Kneg_DSS_D1_REP2_trimmed_read1	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_trimmed/MAP3Kneg_DSS_D1_REP2_trimmed_read1_fastqc.zip
FastQC	all_sections	WT_DSS_D1_REP2_trimmed_read2	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_trimmed/WT_DSS_D1_REP2_trimmed_read2_fastqc.zip
FastQC	all_sections	WT_DSS_D1_REP1_trimmed_read2	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_trimmed/WT_DSS_D1_REP1_trimmed_read2_fastqc.zip
FastQC	all_sections	MAP3Kneg_DSS_D1_REP1_trimmed_read1	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_trimmed/MAP3Kneg_DSS_D1_REP1_trimmed_read1_fastqc.zip
FastQC	all_sections	MAP3Kneg_DSS_D1_REP1_trimmed_read2	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_trimmed/MAP3Kneg_DSS_D1_REP1_trimmed_read2_fastqc.zip
FastQC	all_sections	WT_DSS_D1_REP3_trimmed_read1	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_trimmed/WT_DSS_D1_REP3_trimmed_read1_fastqc.zip
FastQC	all_sections	WT_DSS_D1_REP1_trimmed_read1	/home/dchen/Downloads/FRED_HUTCH/BULK_RNA_SEQ/qc_reports/fastqc_trimmed/WT_DSS_D1_REP1_trimmed_read1_fastqc.zip
